opening_name,freq,avg_elo,white_win,black_win,game_draw
Irregular Openings,306,1467,0.44771,0.50654,0.04575
Larsen's Opening,25,1488,0.52,0.44,0.04
Bird's Opening,15,1424,0.6,0.33333,0.06667
"Bird's Opening, 1...d5",10,1520,0.2,0.6,0.2
Zukertort Opening,39,1428,0.5641,0.4359,0
"Zukertort Opening, 2...Nf6",7,1282,0.42857,0.42857,0.14286
Réti Opening,11,1379,0.36364,0.63636,0
King's Indian attack (Barcza system),8,1520,0.625,0.375,0
"King's Indian Attack, 3. Bg2",1,1467,1,0,0
"Réti Opening, without: 2...c6, 2...e6",12,1383,0.41667,0.58333,0
English Opening,74,1450,0.45946,0.43243,0.10811
"English, Caro-Kann defensive system",3,1552,1,0,0
"English, 1...Nf6 (Anglo-Indian defense)",11,1518,0.45455,0.54545,0
"English Opening, Hedgehog Defense",1,1470,1,0,0
"English Opening, Sicilian Reversed",1,1614,0,1,0
"English Opening, Symmetrical variation",4,1470,0.5,0.5,0
"English Opening, Symmetrical, Benoni formation",1,1414,0,1,0
"English Opening, Symmetrical",6,1548,0.33333,0.66667,0
"Queen's Pawn Game, Irregular Defences",318,1442,0.47484,0.50314,0.02201
"Queen's Pawn Game, Wade Defense",21,1353,0.33333,0.61905,0.04762
Old Benoni defense,38,1386,0.39474,0.5,0.10526
"Queen's Pawn Game, Trompowsky Attack",26,1365,0.46154,0.53846,0
"Queen's Pawn Game, Torre Attack",11,1385,0.45455,0.54545,0
"King's Indian, East Indian defense",2,1381,0.5,0.5,0
"King's Indian, Fianchetto without c4",1,1758,1,0,0
Queen's Pawn Game (1... Nf6 2. c4),10,1417,0.5,0.5,0
Budapest defense,1,1482,1,0,0
Old Indian Defense,2,1452,0.5,0.5,0
Benoni Defense,1,1759,1,0,0
Benoni defense,1,1598,0,1,0
Dutch defense,25,1434,0.56,0.32,0.12
Dutch with 2.c4 & 3.Nc3,3,1385,0.33333,0.66667,0
"King's Pawn Opening, Irregular Defenses",189,1490,0.53439,0.42857,0.03704
